source,target,player_list,player_count,goals,value
Montréal 2025-2026,Montréal 2026-2027,"['Jessica DiGirolamo', 'Laura Stacey', 'Abby Roque', 'Kaitlin Willoughby', 'Maggie Flaherty', 'Nadia Mattivi', 'Catherine Dubois', 'Lina Ljungblom', 'Ann-Renée Desbiens', 'Tamara Giaquinto', 'Marie-Philip Poulin', 'Kati Tabin', 'Jade Downie-Landry', 'Alexandra Labelle', 'Megan Warrener']",15,44,44
Montréal 2025-2026,Detroit 2026-2027,['Shiann Darkangelo'],1,4,4
Montréal 2025-2026,Boston 2026-2027,['Amanda Boulier'],1,0,0
Montréal 2025-2026,Ottawa 2026-2027,['Dara Greig'],1,3,3
Montréal 2025-2026,Hamilton 2026-2027,['Nicole Gosling'],1,3,3
Montréal 2025-2026,San Jose 2026-2027,['Natálie Mlýnková'],1,5,5
New York 2025-2026,New York 2026-2027,"['Emmy Fecteau', 'Micah Zandee-Hart', 'Lauren Bernard', 'Nicole Vallario', 'Jaime Bourbonnais', 'Elle Hartje', 'Callie Shanahan', 'Sarah Fillier', 'Anna Bargman', 'Kaley Doyle', 'Clair DeGeorge', 'Denisa Křížová', 'Dayle Ross', 'Paetyn Levis', 'Kristýna Kaltounková', 'Maja Nylén Persson']",16,35,35
New York 2025-2026,San Jose 2026-2027,"['Anne Cherkowski', 'Maddi Wheeler', ""Kristin O'Neill""]",3,9,9
New York 2025-2026,Hamilton 2026-2027,"['Kayle Osborne', 'Allyson Simpson', 'Kayla Vespa']",3,3,3
New York 2025-2026,Detroit 2026-2027,['Taylor Girard'],1,7,7
Ottawa 2025-2026,Ottawa 2026-2027,"['Vita Poniatovskaia', 'Fanuza Kadirova', 'Gwyneth Philips', 'Sanni Ahola', 'Kendra Woodland', 'Brooke McQuigge', 'Michela Cava', 'Kathryn Reilly', 'Rebecca Leslie', 'Brooke Hobson', 'Emma Greco', 'Kateřina Mrázová', 'Gabbie Hughes', 'Ronja Savolainen', 'Jocelyne Larocque']",15,37,37
Ottawa 2025-2026,Hamilton 2026-2027,"['Brianne Jenner', 'Peyton Hemp', 'Alexa Vasko', 'Emily Clark']",4,19,19
Ottawa 2025-2026,San Jose 2026-2027,['Rory Guilday'],1,1,1
Ottawa 2025-2026,Detroit 2026-2027,"['Olivia Wallin', 'Stephanie Markowski']",2,1,1
Ottawa 2025-2026,Boston 2026-2027,['Taylor House'],1,0,0
Seattle 2025-2026,Seattle 2026-2027,"['Emily Brown', 'Anna Wilgren', 'Aneta Tejralová', 'Alex Carpenter', 'Lyndie Lobdell', 'Theresa Schafzahl', 'Carly Jackson', 'Lexie Adzija', 'Gabrielle David', 'Lily Delianedis', 'Danielle Serdachny', 'Julia Gosling', 'Hannah Murphy', 'Mikyla Grant-Mentis']",14,40,40
Seattle 2025-2026,Detroit 2026-2027,"['Cayla Barnes', 'Hannah Bilka', 'Hilary Knight']",3,12,12
Seattle 2025-2026,Las Vegas 2026-2027,"['Sydney Langseth', 'Natalie Snodgrass', 'Megan Carter', 'Jada Habisch']",4,4,4
Seattle 2025-2026,San Jose 2026-2027,"['Mariah Keopple', 'Corinne Schroeder', 'Brooke Bryant']",3,0,0
Seattle 2025-2026,Ottawa 2026-2027,['Jenna Buglioni'],1,0,0
Toronto 2025-2026,Montréal 2026-2027,['Emma Maltais'],1,3,3
Toronto 2025-2026,Hamilton 2026-2027,['Anna Kjellbin'],1,1,1
Toronto 2025-2026,Detroit 2026-2027,"['Jesse Compher', 'Daryl Watts']",2,16,16
Toronto 2025-2026,Toronto 2026-2027,"['Raygan Kirk', 'Emma Gentry', 'Lauren Messier', 'Claire Dalton', 'Natalie Spooner', 'Kali Flanagan', 'Emma Woods', 'Ella Shelton', 'Jessica Kondas', 'Allie Munroe', 'Renata Fast', 'Jessie McPherson']",12,13,13
Toronto 2025-2026,San Jose 2026-2027,"['Kristin Della Rovere', 'Maggie Connors']",2,3,3
Toronto 2025-2026,New York 2026-2027,['Elaine Chuli'],1,0,0
Vancouver 2025-2026,Vancouver 2026-2027,"['Emerance Maschmeyer', 'Tereza Vanišová', 'Gabby Rosenthal', 'Jenn Gardiner', 'Abby Boreen', 'Hannah Miller', 'Mannon McMahon', 'Sophie Jaques', 'Katie Chan', 'Izzy Daniel', 'Anna Segedi', 'Kristen Campbell', 'Ashton Bell', 'Sarah Nurse']",14,57,57
Vancouver 2025-2026,Las Vegas 2026-2027,['Darcie Lappan'],1,0,0
Vancouver 2025-2026,Detroit 2026-2027,"['Mellissa Channell-Watkins', 'Nina Jobst-Smith', 'Sydney Bard']",3,0,0
